,기업명,휴폐업발생일자
108,삼오물류정보,20200731
109,이츠웰,20190809
110,한국콘탭시스템,20211231
111,멀린엔터테인먼트코리아,20210901
112,아이맥스,20210331
113,거룡실업,20211025
114,우상종합건설,20201231
115,자혜식품,20220731
116,양산아이엠티,20210303
117,세원에스디에스,20210325
118,엔지씨코리아,20210930
119,동산,20211126
120,상신산업,20210611
121,금강문화허브,20210104
122,대한강재,20201231
123,청호에스엔지경남,20211031
124,부성티에프시,20211231
125,인지전기공업,20220430
126,고려상공,20220430
127,신안엔지니어링,20200930
128,서현스틸,20201231
129,프로유비스,20210531
130,회명옵틱스,20210701
131,제이에스텔레트로닉스,20220630
132,에프알제이,20210917
133,삼보동선,20210730
134,세종머티리얼즈,20191231
135,한일개발,20191018
136,대은주류,20190808
137,고려환경엔지니어링,20200229
138,진도화성공업,20210131
139,동일산업,20210326
140,인투스디자인가구,20220531
141,덴소인터내셔널코리아,20180703
142,농업회사법인우듬지,20211231
143,대아정공,20191231
144,캐럿코리아,20191204
145,티비알,20220630
146,보광섬유,20210731
147,아이투아이,20220204
148,청호메카트로닉스,20211229
149,엠엘씨월드카고,20200706
150,유심천온천리조트,20211103
151,보진재,20200615
152,청해명가,20210111
153,경기시설관리,20201231
154,리코시스,20200914
155,재우철강,20220630
156,동남전기,20210701
157,양주인삼영농조합,20210531
158,송산전력,20200930
159,해원종합건설,20191226
160,참살,20211231
161,유현전자,20211123
162,티티에스,20220331
163,성암기연,20220427
164,두레통상,20210930
165,페스코,20200131
166,고명산업,20200911
167,에듀테크,20200328
168,코덱,20211229
169,명전사,20210331
170,세림비앤지,20211220
171,에스피엠,20211217
172,동양텔레콤,20210302
173,대정컨설턴트,20220331
174,케이원건설,20201231
175,축림,20211028
176,동신수산,20200910
177,계양건설,20220204
178,한성안전관리,20210525
179,굿스플로,20201231
180,성창아이엔디,20191209
181,경성산업,20201218
182,해냄주택,20210707
183,신진도아스,20211231
184,그린웍스,20210412
185,무진유통,20220630
186,자비스,20191101
187,동백영농조합법인,20220405
188,해동엠셀,20201231
189,도광건설,20220622
190,태광공업,20200206
191,씨에스티,20200731
192,한광화약,20220228
193,지오네트,20191231
194,케이제이알텍,20210624
195,파워텍일렉트로닉스,20191227
196,광민건설,20220425
197,모디,20191231
198,지에스알피디,20210107
199,삼성종묘,20200630
200,파인텔레콤,20211119
201,인하우스,20210517
202,한국펠저,20210630
203,맥스온소프트,20210303
204,광평건설,20210916
205,영농조합법인한국화훼센타,20210630
206,대원전설,20220623
207,영신양돈영농조합법인,20201231
208,세아엘리베이터,20210930
209,이즈엠,20220510
210,씨그널엔터테인먼트그룹,20190531
211,삼오,20210331
212,케른리버스코리아,20220531
213,사구와로,20201231
214,회명세미크린,20190521
215,내외안전산업,20220630
216,소모비전,20191106
217,콘티넨탈공조,20220502
218,신일특수유리,20210316
219,명신메트리스,20210131
220,태일전기공사,20200225
221,월드오토파트,20210824
222,코리아게임테크놀러지,20210831
223,탑,20200901
224,유진엠플러스,20220613
225,한라동력공업,20190831
226,태원목재,20191231
227,에스엔텍,20191210
228,대덕,20200930
229,조일이씨에스,20190605
230,지아이건설,20210824
231,제이텍,20210727
232,용아섬유,20201210
233,홍일스톤,20220401
234,모티브,20201124
235,우진교역,20201215
236,파이버프로,20220310
237,한국중전기,20211220
238,삼창건업,20200916
239,에이치케이알,20191028
240,대기상사,20220630
241,에스에스유통,20211229
242,정림건설,20220407
243,이지인터넷,20210915
244,삼진건설,20210730
245,한울설비건설,20211025
246,금우산업,20211130
247,휴링크코리아,20200331
248,도림토건,20200515
249,와이비엘,20200902
250,동양피앤씨,20211019
251,화일철강,20220129
252,아이티엔지니어링,20200309
253,명광산업,20211231
254,에스제이케미칼,20220630
255,텔에이스,20220630
256,성안토건,20211105
257,푸른약품,20201013
258,영림공사,20210608
259,금빛,20211117
260,금화이앤씨,20220331
261,에이치에스첨단소재,20220501
262,엠피에스,20200930
263,고도산업,20201231
264,경부철강,20211031
265,디지웍스,20191230
266,광진전기,20200228
267,대보엔지니어링,20210914
268,코우산업,20201214
269,고은컨트리클럽,20210325
270,미성산업건도,20200601
271,성동시엔시,20220623
272,제노사피엔스,20200630
273,지지스틸,20211130
274,에이프로젠,20220718
275,삼광가스테크,20200106
276,만구,20210630
277,열림기술,20210805
278,한스화학,20191031
279,득주철강,20220331
280,에코로바,20210427
281,메카솔루션,20210319
282,원이엔지산업,20210731
283,나라에이스홀딩스,20220429
284,지앤비시스템,20201105
285,에코에너지,20200831
286,금강중공업,20210928
287,한국필터,20210113
288,세운소방전기,20220222
289,미림이앤에프,20211014
290,한산,20210901
291,네온테크,20200129
292,라온컨벤션,20210531
293,대림엘이디,20191231
294,에프에스통상,20211202
295,펄스텍,20220331
296,다금산업,20210731
297,태인시스템,20200428
298,다이노나,20211108
299,북청산업영어조합법인,20191106
300,동창,20201230
301,동국이엔티,20220630
302,석하개발1,20220128
303,호스록코리아,20210412
304,종이랜드,20210806
305,디에프에스서울,20190917
306,이티빌,20200526
307,하이리빙강북지점,20210331
308,피엔텔레컴,20191231
309,유승산업개발,20201231
310,기능건설산업,20220629
311,융성건설,20211015
312,전국종합철강,20201231
313,진우텍,20210311
314,탄천환경,20211029
315,서영종합건설,20210927
316,영기업,20220401
317,엔디에스개발,20210315
318,코스웰,20220321
319,토마토프로덕션,20211125
320,태경지앤케이,20211231
321,금전종합건설,20210430
322,콜렉트대부,20211231
323,동명정기,20210805
324,삼호실업,20220426
325,글로트렉트레이드,20210604
326,거산하북교역,20220331
327,케이엠,20220411
328,보광기업,20191031
329,에덴식품,20211130
330,헤아텍,20201218
331,다올건설,20220519
332,월어스코리아,20191230
333,성일개발,20210701
334,지오그라픽스,20220725
335,진전사,20200904
336,태광계전,20190920
337,신양피혁,20190422
338,중외휴먼텍,20200612
339,대흥종합건설,20211115
340,한컴지엠디,20191230
341,서림하이팩,20191031
342,대륙종합건설,20210715
343,삼정지오테크,20200601
344,거성산업,20201102
345,동아스틸(주)광양공장,20191231
346,아벨금속,20210823
347,지엠종합물류,20210731
348,팩토리얼홀딩스,20220502
349,더블유제이이엔에스,20200814
350,효동개발,20220228
351,드림사이버,20220531
352,캡쳐,20201112
353,흥삼건설,20210825
354,원파워,20200623
355,훼미리마트,20210510
356,아주하이텍,20220620
357,여래종합통신,20211231
358,영진상사,20200602
359,대동산업,20220721
360,케이맥,20210702
361,제이티넷,20220801
362,성우종합건설,20211231
363,서진,20210803
364,두선,20190725
365,시드인테리어,20201125
366,청양운수,20211008
367,경동월드와이드,20210730
368,한욱테크노글라스주식회사,20211117
369,흥진,20200715
370,삼영설비,20220531
371,삼진아트팩,20211231
372,선택컨슈머,20201204
373,연호미디어,20191230
374,타라그래픽스,20211001
375,텔레마스테크놀로지,20200331
376,전일,20211231
377,금강엔지니어링건설,20211231
378,미크로,20210610
379,평화굴비유통,20220314
380,신원커피물류,20200930
381,새연정보기술,20200420
382,구흥석건설,20200409
383,정보티브이,20190930
384,길이동정보통신,20200501
385,우진산업기술,20220331
386,홍익출판사,20200630
387,동영기업,20210803
388,국전약품,20201216
389,여행문화센타,20200229
390,신도시공영개발,20190923
391,에스아이테크,20220623
392,준영,20201029
393,큐텔소프트,20190228
394,비티엔지니어링,20220531
395,세레노가구,20201031
396,대현정기,20190423
397,한국솔베이정밀화학,20210831
398,엘에스건설,20210706
399,알라스건설,20200623
400,한아스틸,20190630
401,우승종합건설,20200305
402,윈테코,20211231
403,유유씨티개발,20210817
404,와이앤피아스콘,20191101
405,글로벌에이,20220719
406,라포애드,20220414
407,티스쿨이앤씨,20200706
408,명신맨테크,20210430
409,아이캔,20190814
410,원익테라세미콘,20190201
411,대성팜,20201230
412,용창산업(주)영동관광호텔,20200727
413,대승프론티어,20220131
414,대원케미코,20220331
415,진성씨앤씨,20200930
416,광주기계,20191231
417,광일건설,20220630
418,호산이엔지,20210308
419,인터랙티비,20201023
420,썬테크놀로지스,20200821
421,스틱인베스트먼트,20211220
422,유림산업개발,20210303
423,범양냉난방시스템,20211013
424,선용,20220531
425,케이엔이글로벌,20211031
426,알켄즈,20210603
427,휴먼,20210228
428,산호씨앤디,20191031
429,안동석재산업,20201231
430,지구,20211130
431,코닉오토메이션,20220714
432,주영디자인,20201116
433,세화,20191220
434,한울산업,20211210
435,아이씨티이엔지,20210723
436,대원엔지니어링,20200618
437,참존글로벌워크,20201223
438,국제이엔씨,20211021
439,양호,20211021
440,이노센트가구,20210630
441,현진건설,20210531
442,태창공영,20200630
443,국제강재(주)포항공장,20200109
444,위닉스,20191210
445,대신파워텍,20201007
446,현우인터내셔날,20211231
447,금아건설,20200916
448,지형공간정보,20201231
449,골든캐슬,20201020
450,성남아트,20210415
451,아세아산업,20210622
452,대산통신,20211021
453,원텍,20220615
454,국일메카트로닉스,20200630
455,엔젤에어,20220520
456,태경건설,20211029
457,온일포밍아트,20211231
458,소프트캠프,20191218
459,동창기계,20200618
460,세양강업,20210630
461,대성건재,20200716
462,프렉코,20200511
463,한국타이어밀양판매,20191202
464,동광기연,20191209
465,케이디건설,20220331
466,창해,20210111
467,현도지앤씨,20201230
468,아이씨이,20200702
469,한성아이엘에스,20201228
470,서영주류판매,20220630
471,아미시스,20210720
472,대림이앤씨,20200423
473,대신철강,20210630
474,신한종합건설,20200731
475,대림기공,20210401
476,지오인터내셔널,20190903
477,숭원산업,20191205
478,엘케이지,20210331
479,한국전산홈,20200331
480,스타대구고속관광,20200831
481,팔공건설,20191025
482,삼기산업,20200930
483,벡트론,20200925
484,경진수산,20200517
485,바이소프트,20200501
486,케이앤씨체인본부,20210409
487,정성섬유,20211029
488,대성기술단,20210119
489,철인종합건설,20200331
490,세광하이테크,20211231
491,아래스,20200622
492,드림미즈,20201231
493,제이앤에프상사,20201123
494,한국특수소재,20191228
495,해우촌,20210331
496,델타금속,20210430
497,해운대그랜드,20210812
498,루돌프테크놀로지(주)한국,20201211
499,오글랜드시스템코리아,20201102
500,동신기계공업,20210331
501,국일종합관리,20210927
502,영풍세라믹,20191231
503,아쎈다스코리아,20210528
504,포인트엔지니어링,20190702
505,미도산업,20200430
506,그린모드,20201231
507,갓바위워터피아온천,20220119
508,피에스케이홀딩스,20200203
509,아이플레이,20191004
510,원창포장공업,20201224
511,지오웍스,20201123
512,천안스포렉스,20200531
513,모노링크,20200229
514,리오엘리,20201231
515,대경텔레콤,20210131
516,경복종합건설,20220704
517,신성실크,20181231
518,에스알하우징,20210630
519,대성아이디,20220128
520,한국지케이엔,20211016
521,경신수지공업,20200914
522,아쿠브,20210630
523,비엠글로벌,20210722
524,새한아스콘,20220401
525,경성주택,20220701
526,한국실리콘그래픽스,20200521
527,태림랜드,20190901
528,경성약품,20200313
529,한유건설,20210324
530,파이퍼베큠코리아,20211231
531,이십일세기미트뱅크,20200604
532,미래로건설,20200117
533,해동철강,20210331
534,파인넥스,20200618
535,동양토건,20211231
536,제우산업,20210930
537,에이피엔텍,20220729
538,그린로지텍,20201130
539,대운산업개발,20200331
540,효건도어,20210518
541,고려이엔에스,20210527
542,에스지플래닝,20201231
543,한길텔레콤,20210930
544,세인종합건설,20210226
545,영테크,20191125
546,아트미디어,20200527
547,티피씨,20210105
548,베델,20190717
549,명인건전,20201231
550,성우애드컴,20211026
551,유니콘네트웍스,20210322
552,규림,20211231
553,제이드글로벌,20200525
554,대산정밀,20211231
555,제이에프앤비,20211103
556,엘티시스템,20220720
557,세방전기통신,20211231
558,백산동물약품,20210228
559,평진종합관리,20200731
560,동현전기공사,20211202
561,디에스케이기계,20210701
562,케이에스피,20220430
563,대동산업,20220426
564,패션앤스타일,20220731
565,보노,20211231
566,강산,20200620
567,코너스톤네트웍스,20220223
568,파크비지니스관광호텔,20210228
569,에쓰씨기획,20200630
570,노블인더스트리,20191231
571,신진스틸,20211202
572,계명,20190905
573,에드링턴코리아,20210330
574,두영,20220428
575,웩싸이,20200323
576,동양엔지니어링,20200723
577,미래로데이타시스템,20190731
578,나우슈모드,20220607
579,서울신용평가정보(주)부산지점,20210930
580,디와이씨,20211201
581,프로차일드,20210701
582,섬진피에이치텍,20220131
583,케이엠씨에프에이,20210731
584,마이크로닉정보통신,20190702
585,대흥시스템,20200630
586,정보건설,20210106
587,두루종합건설,20210222
588,도시바엘리베이터코리아,20200904
589,대맥엔지니어링,20220504
590,지유지유애드,20200918
591,웅신산업개발,20220331
592,광산전력,20220712
593,삼성고속관광,20220210
594,현대금속,20200430
595,한국시거스,20211230
596,리원에스디,20210331
597,금산양전농원,20191231
598,보성레저개발,20190911
599,창영종합건설,20210706
600,문인터내쇼날,20220105
601,동흥종합건설,20211031
602,퍼스트엔지니어링,20211213
603,코비스,20200117
604,한나,20200122
605,광화,20191227
606,진보엘리트,20200630
607,진영판넬,20210331
608,제일셔츠,20211221
609,청도무역,20210331
610,아르스앤,20201231
611,강동,20201016
612,한국티앤엘,20210630
613,동성금속기술,20220209
614,건축사사무소오퍼스,20220429
615,한길종합엔지니어링,20210608
616,디즈텍,20220216
617,대한피씨건설,20200403
618,엘케이디컴퍼니,20210731
619,국제강재,20191231
620,영남기공,20210331
621,양지종합건설,20201231
622,삼우소방,20210901
623,대진엠엔알,20211231
624,세왕건설,20210820
625,세영디앤씨,20210915
626,태양탑스,20220731
627,포텐시아개발,20201110
628,유림아이엔씨,20211228
629,케이엠제약,20180912
630,한국전기기술사사무소,20200401
631,지아이엠산업,20211130
632,대신약품,20210930
633,대건세이프,20210630
634,대신,20190730
635,효성기계,20210503
636,에어텍정보통신,20211231
637,태흥전자,20211005
638,경남창호시스템,20211231
639,백광플라텍,20190625
640,보원하이텍,20211025
641,다보링크,20210728
642,이십세기폭스코리아,20200430
643,유성,20190510
644,수도권환경,20190927
645,동화기연,20191202
646,육구공이,20220630
647,베니스침대,20211025
648,지니틱스,20190716
649,동진폴리머,20220131
650,상아,20210630
651,국토건설산업,20200531
652,현인푸드홀릭스에프앤씨,20211130
653,케이비시스템,20211231
654,울티모유통,20211215
655,신한쥬얼테크,20220301
656,제이에이알시스템즈,20220401
657,부농,20210520
658,케이엔지랜드,20200811
659,한국육계유통,20190822
660,캐리맥스통상,20211125
661,무창건설,20210511
662,노턴라이프락코리아,20201231
663,유니콤넷,20211116
664,경동코퍼레이션,20200331
665,수덕산업기계,20210210
666,삼영전기공업사,20211123
667,키스트론,20211230
668,비건설,20220511
669,다모여수산,20211231
670,동진에프앤씨,20191014
671,훈호엔지니어링,20211015
672,에이케이씨앤씨,20200928
673,보임기술,20210722
674,일급언양종합정비,20190610
675,한미종합건축사사무소,20200417
676,와콘,20190904
677,남경건설,20210831
678,게임어스,20200311
679,한우리열린교육,20210202
680,성훈라이팅,20200624
681,두남금속,20211231
682,우선제어,20211130
683,세한,20211228
684,안창,20211231
685,미래공조플랜트,20190731
686,로터스엔지니어링,20210415
687,무한비트,20210225
688,삼진제모,20200229
689,와이지종합건설,20210930
690,대흥이엔씨,20220208
691,신영섬유,20220615
692,코엔미디어,20210926
693,지엔원에너지,20200225
694,동일하이빌,20210630
695,천안단보루,20211027
696,웅진산업,20200930
697,우일엔지니어링,20200728
698,와사비망고,20220315
699,제본,20201231
700,화성건설,20200801
701,해은켐텍,20211201
702,다남건설,20220630
703,아하아이엔디,20210331
704,성산,20210419
705,모심푸드,20200925
706,바이오토피아,20191031
707,한국후지필름일렉트로닉머티리얼즈,20220330
708,씨엔전자,20220317
709,청호에스엔지경북,20211031
710,기가산업,20191130
711,심플로트코리아(주)영업소,20210630
712,유니썬코리아,20210729
713,태일,20211231
714,비에스,20201031
715,주은종합건설,20220331
716,세계건설,20191025
717,현산이엔씨,20211025
718,예맥,20220714
719,금영에프에스,20190710
720,씨케이글로벌파트너스,20200205
721,오토엔,20220302
722,성화건설,20220518
723,화신기업,20201022
724,대양개발,20210713
725,헤라우스오리엔탈하이텍,20200514
726,서남환경,20220318
727,창신금형,20200414
728,라인씨스템,20191231
729,덕주건설,20220228
730,윌스너스,20220722
731,태강실업,20211210
732,현대중앙기획,20220427
733,디지털워터,20210930
734,백년건설,20220731
735,가나종합,20211231
736,녹십자셀,20211112
737,비스텔,20220203
738,광진엔지니어링,20211029
739,롬엔드하스코리아,20211108
740,사이버씨브이에스,20210427
741,예농식품유통,20210427
742,향우산업,20211231
743,서구산업,20201031
744,나이스플러스,20210702
745,조양애드컴,20211105
746,한불에너지관리,20191029
747,한국터보기계,20220726
748,거신건설,20220516
749,정원전기시스템,20210107
750,미주금속,20211025
751,대교디앤씨,20191010
752,신아주브이에이,20190901
753,파나씨티,20211101
754,삼흥기연,20210629
755,혜명,20210810
756,동호합섬,20201102
757,대경산업개발,20211005
758,국일가스텍,20220714
759,영진산업영양공장,20210430
760,대광특수금속,20200831
761,예림종합건설,20220215
762,태성프라스틱,20190528
763,에이비에스컨설팅,20211125
764,불이정보통신,20211231
765,정원금속,20211104
766,피케이에스씨에스,20210420
767,효원전기,20210531
768,에스탑서비스,20210331
769,천마건설,20220630
770,대성이엔지,20210531
771,웨프트,20210323
772,미래실업,20191120
773,에스엠케미칼,20191031
774,장안전기,20211201
775,우암이앤씨,20200331
776,동철,20210817
777,세영씨엠에스,20210802
778,더힐건설,20200831
779,아강테크,20190923
780,제이텍,20220506
781,한국선박기술,20200930
782,포스톤건설,20200924
783,오케이유통,20210311
784,에이치에스공영,20210930
785,트러스메틱스,20201130
786,천광종합건설,20210823
787,고려이스쿨,20201231
788,한개발,20200131
789,성암산업,20200630
790,대명엠에스,20210324
791,브레인브릿지,20210825
792,원에이치,20191231
793,라임글로브,20220725
794,중앙티아이,20200630
795,알에프윈도우,20210430
796,다온로지스틱스,20191031
797,클라이젠,20220225
798,금오,20220331
799,아시아나물류,20201231
800,이솔라텍,20200928
801,누리,20191008
802,제이드엠,20210712
803,세종이엔씨,20210423
804,조형스틸구조,20200630
805,태성테크,20211230
806,위즈켐,20210331
807,보경건설,20211116
808,디아메스코,20210830
809,인창이에프건설,20201031
810,통영마리나,20210930
811,석화산업,20220731
812,금강,20201231
813,이마린아이씨티,20220317
814,대륭해운,20210730
815,대명운수,20211222
816,대성주류판매,20211231
817,송화관광,20210430
818,덕흥건설,20210401
819,리드텍스타일,20200925
820,백마택시,20201231
821,비엔케이,20200630
822,성도에너지양주지점,20190515
823,에스에프앤티,20200831
824,쓰리원,20210614
825,이레에이피,20210930
826,정인텍스타일,20200915
827,엠에프엠코리아,20210521
828,태일산업,20191221
829,태일,20210630
830,한국정밀,20220328
831,웅진상사,20200930
832,파인테크,20201130
833,기성엔지니어링,20210310
834,에이치엘디스플레이코리아,20220630
835,아이세이브존,20190604
836,에스에이티,20211125
837,제트에이치티,20200911
838,동규건업,20210504
839,애니플러스,20200331
840,남해레저개발,20190719
841,에스에이치글로벌,20191211
842,엔와이케이라인코리아,20180921
843,이셀러스,20200320
844,모던종합상조,20220105
845,제이시스메디칼,20210318
846,비스프로컨설팅,20201028
847,경포대영어조합법인,20210630
848,삼일농자재산업,20220720
849,세종글로벌,20201231
850,유일기업,20200831
851,정우산업,20191231
852,남산전기,20211031
853,성안,20210104
854,동양에이치씨,20190715
855,광명이엔지,20211006
856,이이에이코리아,20191231
857,시스네트서비스,20200716
858,삼화레미콘,20211018
859,명성쇼트기계,20201126
860,선인유니텍,20211231
861,비투엔,20211104
862,웨이버스,20220401
863,동남산업,20200612
864,디모아,20220331
865,김치랜드,20200531
866,학표벽지,20191204
867,노마드씨엔디,20210326
868,화물나라로지스틱스,20200131
869,하삼,20201231
870,제주피앤지,20211231
871,기성콘크리트,20210702
872,씨에스에이코스믹횡성지점,20190905
873,포엠인덕션,20210101
874,옥종합식품,20211026
875,삼일지앤드엠,20211231
876,누리두루,20220731
877,아크도,20211220
878,이루텍,20191231
879,열린정보,20220331
880,머스트리드,20210818
881,조은피앤씨,20210930
882,성신알앤에이,20211231
883,리더스메디칼,20210630
884,광산산업,20211123
885,텍스필,20210630
886,진선약품,20210517
887,대광목재,20210511
888,영광,20201214
889,광건건설,20210924
890,세운이노비젼메디칼,20191224
891,유창아이엔,20210131
892,예선테크,20190930
893,원우티엔에스,20211201
894,에스지컴퓨터,20200630
895,줌인포테크,20201130
896,정든사람들,20200518
897,모두통신,20200930
898,넙도수산영어조합법인,20210826
899,마이크로폴리스,20191128
900,천지스카이폰드,20200930
901,한국면세서비스시스템,20220630
902,선진레미콘,20220801
903,태성전설,20200617
904,사이보그랩,20200131
905,구암종합건설,20220630
906,대인테크,20200302
907,케이에스벽지,20210630
908,비케이산업,20210930
909,동비건설,20200630
910,남선개발,20201231
911,황토포크,20211231
912,엠원아이엔디,20220718
913,인캄이엔지,20211005
914,원피팅,20220331
915,두향원,20220331
916,대효건설,20200831
917,좋은라이프,20210104
918,에이치앤이기획,20200331
919,신영기업,20190930
920,중우건설,20211231
921,와이엠,20210823
922,킴스코리아씨앤엠,20220503
923,에스에프보고플랜트,20201231
924,태성인터텍스,20200630
925,일광종합건설,20220630
926,윈플러스,20210801
927,웰푸드시스템,20200915
928,동현종합건설,20200603
929,중앙토건,20200930
930,푸른종원건설,20210305
931,부영,20211206
932,대경에너지,20210302
933,코리아익스프레스에어,20210628
934,원일기업,20220620
935,유도로보틱스,20190630
936,동해실업,20201222
937,우빈,20200825
938,명진에스앤티,20201231
939,창신농공,20201231
940,신화산업,20211007
941,국기,20220630
942,이테크,20201203
943,비아텍,20220331
944,디에스팩,20191112
945,케이에프텔,20210826
946,엔그린텍,20210728
947,웨이즈시스템즈,20220630
948,제이에스글로벌,20211231
949,코퍼스코리아,20201214
950,포스프로,20200728
951,홍석엔지니어링,20220331
952,세은피엔피,20220608
953,대일,20190823
954,은혜페리호,20210825
955,햇츠온,20191130
956,상화산업,20211015
957,세신금속공업,20190630
958,오리엔트전자종로매장,20191231
959,아이비씨쥬얼리못네백화점명동점,20200930
960,베뉴지,20190730
961,아이비씨쥬얼리롯데영등포점지점,20200701
962,썬앳푸드_스파게띠아여의점,20190925
963,썬앳푸드_토니로마스여의도점,20190925
964,리브로화정문고,20211231
965,아이비쥬얼리일산점,20200930
966,리브로_분당점,20211231
967,용인(하)고속도로주유소,20200630
968,한국전산홈(주)안양공장,20200331
969,삼신이앤비테크노마트점,20211115
970,이랜드크루즈둑도나루,20200828
971,소모에너지엔테크놀러지,20200331
972,헤펠레코리아,20210630
973,경일석유(주)직영삼방주유소,20201023
974,삼양에프앤비,20190523
975,대현유통홍천강(하)주유소,20200115
976,전기공사공제(목포),20200131
977,전기공사공제(순천),20191231
978,아이비씨통상부산점,20200930
979,에프씨엔에드가야,20220531
980,신신상사(주)부산지점,20200731
981,아이비씨통산디자인젬,20210531
982,동방석유(주)울산관문주유소,20200331
983,아이비씨쥬얼리롯데울산점,20200501
984,우리영농조합지수분소,20191230
985,전기공사공제조합(진주),20200313
986,화창상사(주)부산지점,20220630
987,은마석유(주)직영용당씨와이주유,20190331
988,델타타우코리아,20190628
989,청호에스엔지경원,20211031
990,컨시드,20210621
991,장덕개발,20191125
992,동아전력,20220131
993,에스엠커머스,20220331
994,토피스,20210331
995,한유주택,20200725
996,오펙메이드인터내셔널,20210104
997,피에스,20210115
998,연안식품,20210720
999,한림종합상사,20210415
1000,에스제이물류,20220710
1001,비아이티에코루브,20211031
1002,합동영화(주)서울극장,20220331
1003,한흥물산,20210205
1004,서미트,20220630
1005,포탈하이웨이반원지점,20190930
1006,코콤서울지점,20181231
1007,대한파카라이징,20200115
1008,동양잉크제이공장,20181231
1009,천마콘크리트공업(주)광주공장,20190101
1010,보성공업자동차사업소,20210630
1011,동진기업(주)양주공장,20181231
1012,뱅뱅어패럴의정부점,20190331
1013,현대통신,20181231
1014,성보공업(주)도화동공장,20201026
1015,세다시화공장,20190603
1016,일정실업(주)제일공장,20201130
1017,회계법인두레,20181031
1018,우림유통(주)용인상휴게소,20210722
1019,티피씨메카트로닉스,20211231
1020,신안건설산업,20191231
1021,국제다이아몬드공업,20210611
1022,비와이씨광희사무소,20220531
1023,덕흥수산,20201231
1024,정우금속공업(주)남양주지점,20190531
1025,금화성수지점,20190630
1026,도시피디,20210114
1027,원림서초빌딩,20200915
1028,금양서울사무소,20181231
1029,디에스피서울지사,20181231
1030,동양잉크동부,20181231
1031,동해엔지니어링(주)서울사무소,20200930
1032,소디프비앤에프대전지점,20211026
1033,담터대전영업소,20201102
1034,미디어신나라은행동점,20210412
1035,머거본대전지점,20190228
1036,한스코제이공장,20220331
1037,흥진,20200715
1038,성원제강(주)당진공장,20201231
1039,플랙트그룹코리아,20201030
1040,청우식품천안영업소,20220331
1041,바이오니아,20201231
1042,고려상조,20200925
1043,미주제강,20220624
1044,엔피케이구미공장,20211222
1045,에나인더스트리경산지점,20191029
1046,삼익,20210331
1047,한미상사서부영업소,20191231
1048,인석,20220510
1049,한국보팍터미날울산일터미날,20190630
1050,한국보팍터미날울산이터미날,20190630
1051,신일전기(주)김해지점,20200914
1052,진산호텔앤리조트(주)해운대호텔,20191231
1053,비아이피(주)서창공장,20200709
1054,엠비씨아카데미관악점,20200229
1055,천지인지적글로벌,20191231
