,기업명,휴폐업발생일자,휴폐업1년전날짜
123,"""청호에스엔지경남""",2021.10.31,2020.10.31
124,"""부성티에프시""",2021.12.31,2020.12.31
125,"""인지전기공업""",2022.04.30,2021.04.30
126,"""고려상공""",2022.04.30,2021.04.30
127,"""신안엔지니어링""",2020.09.30,2019.09.30
128,"""서현스틸""",2020.12.31,2019.12.31
129,"""프로유비스""",2021.05.31,2020.05.31
130,"""회명옵틱스""",2021.07.01,2020.07.01
131,"""제이에스텔레트로닉스""",2022.06.30,2021.06.30
132,"""에프알제이""",2021.09.17,2020.09.17
133,"""삼보동선""",2021.07.30,2020.07.30
134,"""세종머티리얼즈""",2019.12.31,2018.12.31
135,"""한일개발""",2019.10.18,2018.10.18
136,"""대은주류""",2019.08.08,2018.08.08
137,"""고려환경엔지니어링""",2020.02.29,2019.02.28
138,"""진도화성공업""",2021.01.31,2020.01.31
139,"""동일산업""",2021.03.26,2020.03.26
140,"""인투스디자인가구""",2022.05.31,2021.05.31
141,"""덴소인터내셔널코리아""",2018.07.03,2017.07.03
142,"""농업회사법인우듬지""",2021.12.31,2020.12.31
143,"""대아정공""",2019.12.31,2018.12.31
144,"""캐럿코리아""",2019.12.04,2018.12.04
145,"""티비알""",2022.06.30,2021.06.30
146,"""보광섬유""",2021.07.31,2020.07.31
147,"""아이투아이""",2022.02.04,2021.02.04
148,"""청호메카트로닉스""",2021.12.29,2020.12.29
149,"""엠엘씨월드카고""",2020.07.06,2019.07.06
150,"""유심천온천리조트""",2021.11.03,2020.11.03
151,"""보진재""",2020.06.15,2019.06.15
152,"""청해명가""",2021.01.11,2020.01.11
153,"""경기시설관리""",2020.12.31,2019.12.31
154,"""리코시스""",2020.09.14,2019.09.14
155,"""재우철강""",2022.06.30,2021.06.30
156,"""동남전기""",2021.07.01,2020.07.01
157,"""양주인삼영농조합""",2021.05.31,2020.05.31
158,"""송산전력""",2020.09.30,2019.09.30
159,"""해원종합건설""",2019.12.26,2018.12.26
160,"""참살""",2021.12.31,2020.12.31
161,"""유현전자""",2021.11.23,2020.11.23
162,"""티티에스""",2022.03.31,2021.03.31
163,"""성암기연""",2022.04.27,2021.04.27
164,"""두레통상""",2021.09.30,2020.09.30
165,"""페스코""",2020.01.31,2019.01.31
166,"""고명산업""",2020.09.11,2019.09.11
167,"""에듀테크""",2020.03.28,2019.03.28
168,"""코덱""",2021.12.29,2020.12.29
169,"""명전사""",2021.03.31,2020.03.31
170,"""세림비앤지""",2021.12.20,2020.12.20
171,"""에스피엠""",2021.12.17,2020.12.17
172,"""동양텔레콤""",2021.03.02,2020.03.02
173,"""대정컨설턴트""",2022.03.31,2021.03.31
174,"""케이원건설""",2020.12.31,2019.12.31
175,"""축림""",2021.10.28,2020.10.28
176,"""축림""",2020.07.21,2019.07.21
177,"""동신수산""",2020.09.10,2019.09.10
178,"""계양건설""",2022.02.04,2021.02.04
179,"""한성안전관리""",2021.05.25,2020.05.25
180,"""굿스플로""",2020.12.31,2019.12.31
181,"""성창아이엔디""",2019.12.09,2018.12.09
182,"""경성산업""",2020.12.18,2019.12.18
183,"""해냄주택""",2021.07.07,2020.07.07
184,"""신진도아스""",2021.12.31,2020.12.31
185,"""그린웍스""",2021.04.12,2020.04.12
186,"""무진유통""",2022.06.30,2021.06.30
187,"""자비스""",2019.11.01,2018.11.01
188,"""동백영농조합법인""",2022.04.05,2021.04.05
189,"""해동엠셀""",2020.12.31,2019.12.31
190,"""도광건설""",2022.06.22,2021.06.22
191,"""태광공업""",2020.02.06,2019.02.06
192,"""씨에스티""",2020.07.31,2019.07.31
193,"""한광화약""",2022.02.28,2021.02.28
194,"""지오네트""",2019.12.31,2018.12.31
195,"""케이제이알텍""",2021.06.24,2020.06.24
196,"""파워텍일렉트로닉스""",2019.12.27,2018.12.27
197,"""광민건설""",2022.04.25,2021.04.25
198,"""모디""",2019.12.31,2018.12.31
199,"""지에스알피디""",2021.01.07,2020.01.07
200,"""삼성종묘""",2020.06.30,2019.06.30
201,"""파인텔레콤""",2021.11.19,2020.11.19
202,"""인하우스""",2021.05.17,2020.05.17
203,"""한국펠저""",2021.06.30,2020.06.30
204,"""맥스온소프트""",2021.03.03,2020.03.03
205,"""광평건설""",2021.09.16,2020.09.16
206,"""영농조합법인한국화훼센타""",2021.06.30,2020.06.30
207,"""대원전설""",2022.06.23,2021.06.23
208,"""영신양돈영농조합법인""",2020.12.31,2019.12.31
209,"""세아엘리베이터""",2021.09.30,2020.09.30
210,"""이즈엠""",2022.05.10,2021.05.10
211,"""씨그널엔터테인먼트그룹""",2019.05.31,2018.05.31
212,"""삼오""",2021.03.31,2020.03.31
213,"""케른리버스코리아""",2022.05.31,2021.05.31
214,"""사구와로""",2020.12.31,2019.12.31
215,"""회명세미크린""",2019.05.21,2018.05.21
216,"""내외안전산업""",2022.06.30,2021.06.30
217,"""소모비전""",2019.11.06,2018.11.06
218,"""콘티넨탈공조""",2022.05.02,2021.05.02
219,"""신일특수유리""",2021.03.16,2020.03.16
220,"""명신메트리스""",2021.01.31,2020.01.31
221,"""태일전기공사""",2020.02.25,2019.02.25
222,"""월드오토파트""",2021.08.24,2020.08.24
223,"""코리아게임테크놀러지""",2021.08.31,2020.08.31
224,"""탑""",2020.09.01,2019.09.01
225,"""유진엠플러스""",2022.06.13,2021.06.13
226,"""한라동력공업""",2019.08.31,2018.08.31
227,"""태원목재""",2019.12.31,2018.12.31
228,"""에스엔텍""",2019.12.10,2018.12.10
229,"""대덕""",2020.09.30,2019.09.30
230,"""조일이씨에스""",2019.06.05,2018.06.05
231,"""지아이건설""",2021.08.24,2020.08.24
232,"""제이텍""",2021.07.27,2020.07.27
233,"""용아섬유""",2020.12.10,2019.12.10
234,"""홍일스톤""",2022.04.01,2021.04.01
235,"""모티브""",2020.11.24,2019.11.24
236,"""우진교역""",2020.12.15,2019.12.15
237,"""파이버프로""",2022.03.10,2021.03.10
238,"""한국중전기""",2021.12.20,2020.12.20
239,"""삼창건업""",2020.09.16,2019.09.16
240,"""에이치케이알""",2019.10.28,2018.10.28
241,"""대기상사""",2022.06.30,2021.06.30
242,"""에스에스유통""",2021.12.29,2020.12.29
243,"""정림건설""",2022.04.07,2021.04.07
244,"""이지인터넷""",2021.09.15,2020.09.15
245,"""삼진건설""",2021.07.30,2020.07.30
246,"""한울설비건설""",2021.10.25,2020.10.25
247,"""금우산업""",2021.11.30,2020.11.30
248,"""휴링크코리아""",2020.03.31,2019.03.31
249,"""도림토건""",2020.05.15,2019.05.15
250,"""와이비엘""",2020.09.02,2019.09.02
251,"""동양피앤씨""",2021.10.19,2020.10.19
252,"""화일철강""",2022.01.29,2021.01.29
253,"""아이티엔지니어링""",2020.03.09,2019.03.09
254,"""명광산업""",2021.12.31,2020.12.31
255,"""명광산업""",2021.03.15,2020.03.15
256,"""에스제이케미칼""",2022.06.30,2021.06.30
257,"""텔에이스""",2022.06.30,2021.06.30
258,"""성안토건""",2021.11.05,2020.11.05
259,"""푸른약품""",2020.10.13,2019.10.13
260,"""영림공사""",2021.06.08,2020.06.08
261,"""금빛""",2021.11.17,2020.11.17
262,"""금화이앤씨""",2022.03.31,2021.03.31
263,"""에이치에스첨단소재""",2022.05.01,2021.05.01
264,"""엠피에스""",2020.09.30,2019.09.30
265,"""고도산업""",2020.12.31,2019.12.31
266,"""경부철강""",2021.10.31,2020.10.31
267,"""디지웍스""",2019.12.30,2018.12.30
268,"""광진전기""",2020.02.28,2019.02.28
269,"""대보엔지니어링""",2021.09.14,2020.09.14
270,"""코우산업""",2020.12.14,2019.12.14
271,"""고은컨트리클럽""",2021.03.25,2020.03.25
272,"""미성산업건도""",2020.06.01,2019.06.01
273,"""성동시엔시""",2022.06.23,2021.06.23
274,"""제노사피엔스""",2020.06.30,2019.06.30
275,"""지지스틸""",2021.11.30,2020.11.30
276,"""에이프로젠""",2022.07.18,2021.07.18
277,"""삼광가스테크""",2020.01.06,2019.01.06
278,"""만구""",2021.06.30,2020.06.30
279,"""열림기술""",2021.08.05,2020.08.05
280,"""한스화학""",2019.10.31,2018.10.31
281,"""득주철강""",2022.03.31,2021.03.31
282,"""에코로바""",2021.04.27,2020.04.27
283,"""메카솔루션""",2021.03.19,2020.03.19
284,"""원이엔지산업""",2021.07.31,2020.07.31
285,"""나라에이스홀딩스""",2022.04.29,2021.04.29
286,"""지앤비시스템""",2020.11.05,2019.11.05
287,"""에코에너지""",2020.08.31,2019.08.31
288,"""금강중공업""",2021.09.28,2020.09.28
289,"""한국필터""",2021.01.13,2020.01.13
290,"""세운소방전기""",2022.02.22,2021.02.22
291,"""미림이앤에프""",2021.10.14,2020.10.14
292,"""한산""",2021.09.01,2020.09.01
293,"""네온테크""",2020.01.29,2019.01.29
294,"""라온컨벤션""",2021.05.31,2020.05.31
295,"""대림엘이디""",2019.12.31,2018.12.31
296,"""에프에스통상""",2021.12.02,2020.12.02
297,"""펄스텍""",2022.03.31,2021.03.31
298,"""다금산업""",2021.07.31,2020.07.31
299,"""태인시스템""",2020.04.28,2019.04.28
300,"""다이노나""",2021.11.08,2020.11.08
301,"""북청산업영어조합법인""",2019.11.06,2018.11.06
302,"""동창""",2020.12.30,2019.12.30
303,"""동국이엔티""",2022.06.30,2021.06.30
304,"""석하개발1""",2022.01.28,2021.01.28
305,"""호스록코리아""",2021.04.12,2020.04.12
306,"""종이랜드""",2021.08.06,2020.08.06
307,"""디에프에스서울""",2019.09.17,2018.09.17
308,"""이티빌""",2020.05.26,2019.05.26
309,"""하이리빙강북지점""",2021.03.31,2020.03.31
310,"""피엔텔레컴""",2019.12.31,2018.12.31
311,"""유승산업개발""",2020.12.31,2019.12.31
312,"""기능건설산업""",2022.06.29,2021.06.29
313,"""융성건설""",2021.10.15,2020.10.15
314,"""전국종합철강""",2020.12.31,2019.12.31
315,"""진우텍""",2021.03.11,2020.03.11
316,"""탄천환경""",2021.10.29,2020.10.29
317,"""서영종합건설""",2021.09.27,2020.09.27
318,"""영기업""",2022.04.01,2021.04.01
319,"""엔디에스개발""",2021.03.15,2020.03.15
320,"""코스웰""",2022.03.21,2021.03.21
321,"""토마토프로덕션""",2021.11.25,2020.11.25
322,"""태경지앤케이""",2021.12.31,2020.12.31
323,"""금전종합건설""",2021.04.30,2020.04.30
324,"""콜렉트대부""",2021.12.31,2020.12.31
325,"""동명정기""",2021.08.05,2020.08.05
326,"""삼호실업""",2022.04.26,2021.04.26
327,"""글로트렉트레이드""",2021.06.04,2020.06.04
328,"""거산하북교역""",2022.03.31,2021.03.31
329,"""케이엠""",2022.04.11,2021.04.11
330,"""보광기업""",2019.10.31,2018.10.31
331,"""에덴식품""",2021.11.30,2020.11.30
332,"""헤아텍""",2020.12.18,2019.12.18
333,"""다올건설""",2022.05.19,2021.05.19
334,"""월어스코리아""",2019.12.30,2018.12.30
335,"""성일개발""",2021.07.01,2020.07.01
336,"""지오그라픽스""",2022.07.25,2021.07.25
337,"""진전사""",2020.09.04,2019.09.04
338,"""태광계전""",2019.09.20,2018.09.20
339,"""신양피혁""",2019.04.22,2018.04.22
340,"""중외휴먼텍""",2020.06.12,2019.06.12
341,"""대흥종합건설""",2021.11.15,2020.11.15
342,"""한컴지엠디""",2019.12.30,2018.12.30
343,"""서림하이팩""",2019.10.31,2018.10.31
344,"""대륙종합건설""",2021.07.15,2020.07.15
345,"""삼정지오테크""",2020.06.01,2019.06.01
346,"""거성산업""",2020.11.02,2019.11.02
347,"""동아스틸(주)광양공장""",2019.12.31,2018.12.31
348,"""아벨금속""",2021.08.23,2020.08.23
349,"""지엠종합물류""",2021.07.31,2020.07.31
350,"""팩토리얼홀딩스""",2022.05.02,2021.05.02
351,"""더블유제이이엔에스""",2020.08.14,2019.08.14
352,"""효동개발""",2022.02.28,2021.02.28
353,"""드림사이버""",2022.05.31,2021.05.31
354,"""캡쳐""",2020.11.12,2019.11.12
355,"""흥삼건설""",2021.08.25,2020.08.25
356,"""원파워""",2020.06.23,2019.06.23
357,"""훼미리마트""",2021.05.10,2020.05.10
358,"""아주하이텍""",2022.06.20,2021.06.20
359,"""여래종합통신""",2021.12.31,2020.12.31
360,"""영진상사""",2020.06.02,2019.06.02
361,"""대동산업""",2022.07.21,2021.07.21
362,"""케이맥""",2021.07.02,2020.07.02
363,"""제이티넷""",2022.08.01,2021.08.01
364,"""성우종합건설""",2021.12.31,2020.12.31
365,"""서진""",2021.08.03,2020.08.03
366,"""두선""",2019.07.25,2018.07.25
367,"""시드인테리어""",2020.11.25,2019.11.25
368,"""청양운수""",2021.10.08,2020.10.08
369,"""경동월드와이드""",2021.07.30,2020.07.30
370,"""한욱테크노글라스주식회사""",2021.11.17,2020.11.17
371,"""흥진""",2020.07.15,2019.07.15
372,"""삼영설비""",2022.05.31,2021.05.31
373,"""삼진아트팩""",2021.12.31,2020.12.31
374,"""선택컨슈머""",2020.12.04,2019.12.04
375,"""연호미디어""",2019.12.30,2018.12.30
376,"""타라그래픽스""",2021.10.01,2020.10.01
377,"""텔레마스테크놀로지""",2020.03.31,2019.03.31
378,"""전일""",2021.12.31,2020.12.31
379,"""금강엔지니어링건설""",2021.12.31,2020.12.31
380,"""미크로""",2021.06.10,2020.06.10
381,"""평화굴비유통""",2022.03.14,2021.03.14
382,"""신원커피물류""",2020.09.30,2019.09.30
383,"""새연정보기술""",2020.04.20,2019.04.20
384,"""구흥석건설""",2020.04.09,2019.04.09
385,"""구흥석건설""",2019.05.08,2018.05.08
386,"""정보티브이""",2019.09.30,2018.09.30
387,"""길이동정보통신""",2020.05.01,2019.05.01
388,"""우진산업기술""",2022.03.31,2021.03.31
389,"""홍익출판사""",2020.06.30,2019.06.30
390,"""동영기업""",2021.08.03,2020.08.03
391,"""국전약품""",2020.12.16,2019.12.16
392,"""여행문화센타""",2020.02.29,2019.02.28
393,"""신도시공영개발""",2019.09.23,2018.09.23
394,"""에스아이테크""",2022.06.23,2021.06.23
395,"""준영""",2020.10.29,2019.10.29
396,"""큐텔소프트""",2019.02.28,2018.02.28
397,"""비티엔지니어링""",2022.05.31,2021.05.31
398,"""세레노가구""",2020.10.31,2019.10.31
399,"""대현정기""",2019.04.23,2018.04.23
400,"""한국솔베이정밀화학""",2021.08.31,2020.08.31
401,"""엘에스건설""",2021.07.06,2020.07.06
402,"""알라스건설""",2020.06.23,2019.06.23
403,"""한아스틸""",2019.06.30,2018.06.30
404,"""우승종합건설""",2020.03.05,2019.03.05
405,"""윈테코""",2021.12.31,2020.12.31
406,"""유유씨티개발""",2021.08.17,2020.08.17
407,"""와이앤피아스콘""",2019.11.01,2018.11.01
408,"""글로벌에이""",2022.07.19,2021.07.19
409,"""라포애드""",2022.04.14,2021.04.14
410,"""티스쿨이앤씨""",2020.07.06,2019.07.06
411,"""명신맨테크""",2021.04.30,2020.04.30
412,"""아이캔""",2019.08.14,2018.08.14
413,"""원익테라세미콘""",2019.02.01,2018.02.01
414,"""대성팜""",2020.12.30,2019.12.30
415,"""용창산업(주)영동관광호텔""",2020.07.27,2019.07.27
416,"""대승프론티어""",2022.01.31,2021.01.31
417,"""대원케미코""",2022.03.31,2021.03.31
418,"""진성씨앤씨""",2020.09.30,2019.09.30
419,"""광주기계""",2019.12.31,2018.12.31
420,"""광일건설""",2022.06.30,2021.06.30
421,"""호산이엔지""",2021.03.08,2020.03.08
422,"""인터랙티비""",2020.10.23,2019.10.23
423,"""썬테크놀로지스""",2020.08.21,2019.08.21
424,"""스틱인베스트먼트""",2021.12.20,2020.12.20
425,"""유림산업개발""",2021.03.03,2020.03.03
426,"""범양냉난방시스템""",2021.10.13,2020.10.13
427,"""선용""",2022.05.31,2021.05.31
428,"""케이엔이글로벌""",2021.10.31,2020.10.31
429,"""알켄즈""",2021.06.03,2020.06.03
430,"""휴먼""",2021.02.28,2020.02.28
431,"""산호씨앤디""",2019.10.31,2018.10.31
432,"""안동석재산업""",2020.12.31,2019.12.31
433,"""지구""",2021.11.30,2020.11.30
434,"""코닉오토메이션""",2022.07.14,2021.07.14
435,"""주영디자인""",2020.11.16,2019.11.16
436,"""세화""",2019.12.20,2018.12.20
437,"""한울산업""",2021.12.10,2020.12.10
438,"""아이씨티이엔지""",2021.07.23,2020.07.23
439,"""대원엔지니어링""",2020.06.18,2019.06.18
440,"""참존글로벌워크""",2020.12.23,2019.12.23
441,"""국제이엔씨""",2021.10.21,2020.10.21
442,"""양호""",2021.10.21,2020.10.21
443,"""이노센트가구""",2021.06.30,2020.06.30
444,"""현진건설""",2021.05.31,2020.05.31
445,"""태창공영""",2020.06.30,2019.06.30
446,"""국제강재(주)포항공장""",2020.01.09,2019.01.09
447,"""위닉스""",2019.12.10,2018.12.10
448,"""대신파워텍""",2020.10.07,2019.10.07
449,"""현우인터내셔날""",2021.12.31,2020.12.31
450,"""금아건설""",2020.09.16,2019.09.16
451,"""지형공간정보""",2020.12.31,2019.12.31
452,"""골든캐슬""",2020.10.20,2019.10.20
453,"""성남아트""",2021.04.15,2020.04.15
454,"""아세아산업""",2021.06.22,2020.06.22
455,"""대산통신""",2021.10.21,2020.10.21
456,"""원텍""",2022.06.15,2021.06.15
457,"""국일메카트로닉스""",2020.06.30,2019.06.30
458,"""엔젤에어""",2022.05.20,2021.05.20
459,"""태경건설""",2021.10.29,2020.10.29
460,"""온일포밍아트""",2021.12.31,2020.12.31
461,"""소프트캠프""",2019.12.18,2018.12.18
462,"""동창기계""",2020.06.18,2019.06.18
463,"""동창기계""",2019.07.31,2018.07.31
464,"""세양강업""",2021.06.30,2020.06.30
465,"""대성건재""",2020.07.16,2019.07.16
466,"""프렉코""",2020.05.11,2019.05.11
467,"""한국타이어밀양판매""",2019.12.02,2018.12.02
468,"""동광기연""",2019.12.09,2018.12.09
469,"""케이디건설""",2022.03.31,2021.03.31
470,"""창해""",2021.01.11,2020.01.11
471,"""현도지앤씨""",2020.12.30,2019.12.30
472,"""아이씨이""",2020.07.02,2019.07.02
473,"""한성아이엘에스""",2020.12.28,2019.12.28
474,"""서영주류판매""",2022.06.30,2021.06.30
475,"""아미시스""",2021.07.20,2020.07.20
476,"""대림이앤씨""",2020.04.23,2019.04.23
477,"""대신철강""",2021.06.30,2020.06.30
478,"""신한종합건설""",2020.07.31,2019.07.31
479,"""대림기공""",2021.04.01,2020.04.01
480,"""지오인터내셔널""",2019.09.03,2018.09.03
481,"""숭원산업""",2019.12.05,2018.12.05
482,"""엘케이지""",2021.03.31,2020.03.31
483,"""한국전산홈""",2020.03.31,2019.03.31
484,"""스타대구고속관광""",2020.08.31,2019.08.31
485,"""팔공건설""",2019.10.25,2018.10.25
486,"""삼기산업""",2020.09.30,2019.09.30
487,"""벡트론""",2020.09.25,2019.09.25
488,"""경진수산""",2020.05.17,2019.05.17
489,"""바이소프트""",2020.05.01,2019.05.01
490,"""케이앤씨체인본부""",2021.04.09,2020.04.09
491,"""정성섬유""",2021.10.29,2020.10.29
492,"""대성기술단""",2021.01.19,2020.01.19
493,"""철인종합건설""",2020.03.31,2019.03.31
494,"""세광하이테크""",2021.12.31,2020.12.31
495,"""아래스""",2020.06.22,2019.06.22
496,"""드림미즈""",2020.12.31,2019.12.31
497,"""제이앤에프상사""",2020.11.23,2019.11.23
498,"""한국특수소재""",2019.12.28,2018.12.28
499,"""해우촌""",2021.03.31,2020.03.31
500,"""델타금속""",2021.04.30,2020.04.30
501,"""해운대그랜드""",2021.08.12,2020.08.12
502,"""루돌프테크놀로지(주)한국""",2020.12.11,2019.12.11
503,"""오글랜드시스템코리아""",2020.11.02,2019.11.02
504,"""동신기계공업""",2021.03.31,2020.03.31
505,"""국일종합관리""",2021.09.27,2020.09.27
506,"""국일종합관리""",2019.11.30,2018.11.30
507,"""영풍세라믹""",2019.12.31,2018.12.31
508,"""아쎈다스코리아""",2021.05.28,2020.05.28
509,"""포인트엔지니어링""",2019.07.02,2018.07.02
510,"""미도산업""",2020.04.30,2019.04.30
511,"""그린모드""",2020.12.31,2019.12.31
512,"""갓바위워터피아온천""",2022.01.19,2021.01.19
513,"""피에스케이홀딩스""",2020.02.03,2019.02.03
514,"""아이플레이""",2019.10.04,2018.10.04
515,"""원창포장공업""",2020.12.24,2019.12.24
516,"""지오웍스""",2020.11.23,2019.11.23
517,"""천안스포렉스""",2020.05.31,2019.05.31
518,"""모노링크""",2020.02.29,2019.02.28
519,"""리오엘리""",2020.12.31,2019.12.31
520,"""대경텔레콤""",2021.01.31,2020.01.31
521,"""경복종합건설""",2022.07.04,2021.07.04
522,"""경복종합건설""",2022.03.03,2021.03.03
523,"""신성실크""",2018.12.31,2017.12.31
524,"""에스알하우징""",2021.06.30,2020.06.30
525,"""대성아이디""",2022.01.28,2021.01.28
526,"""한국지케이엔""",2021.10.16,2020.10.16
527,"""경신수지공업""",2020.09.14,2019.09.14
528,"""아쿠브""",2021.06.30,2020.06.30
529,"""비엠글로벌""",2021.07.22,2020.07.22
530,"""새한아스콘""",2022.04.01,2021.04.01
531,"""경성주택""",2022.07.01,2021.07.01
532,"""한국실리콘그래픽스""",2020.05.21,2019.05.21
533,"""태림랜드""",2019.09.01,2018.09.01
534,"""경성약품""",2020.03.13,2019.03.13
535,"""한유건설""",2021.03.24,2020.03.24
536,"""파이퍼베큠코리아""",2021.12.31,2020.12.31
537,"""이십일세기미트뱅크""",2020.06.04,2019.06.04
538,"""미래로건설""",2020.01.17,2019.01.17
539,"""해동철강""",2021.03.31,2020.03.31
540,"""파인넥스""",2020.06.18,2019.06.18
